Standard Model;G2;G3;G2
"Zeitpunkt in s";"firel in deg";"firel in deg";"firel in deg"
0,561167;121,513559;90,736535;121,513559
0,562167;121,492847;90,725296;121,492847
0,563167;121,471427;90,713590;121,471427
0,564167;121,449300;90,701415;121,449300
0,565167;121,426467;90,688772;121,426467
0,566167;121,402930;90,675661;121,402930
0,567167;121,378689;90,662082;121,378689
0,568167;121,353746;90,648034;121,353746
0,569167;121,328100;90,633518;121,328100
0,570167;121,301754;90,618534;121,301754
0,571167;121,274708;90,603082;121,274708
0,572167;121,246962;90,587161;121,246962
0,573167;121,218519;90,570772;121,218519
0,574167;121,189380;90,553914;121,189380
0,575167;121,159544;90,536588;121,159544
0,576167;121,129013;90,518793;121,129013
0,577167;121,097789;90,500530;121,097789
0,578167;121,065872;90,481799;121,065872
0,579167;121,033263;90,462599;121,033263
0,580167;120,999963;90,442931;120,999963
0,581167;120,965973;90,422794;120,965973
0,582167;120,931295;90,402188;120,931295
0,583167;120,895930;90,381114;120,895930
0,584167;120,859878;90,359572;120,859878
0,585167;120,823140;90,337561;120,823140
0,586167;120,785718;90,315082;120,785718
0,587167;120,747613;90,292134;120,747613
0,588167;120,708826;90,268718;120,708826
0,589167;120,669357;90,244834;120,669357
0,590167;120,629209;90,220481;120,629209
0,591167;120,588382;90,195660;120,588382
0,592167;120,546877;90,170371;120,546877
0,593167;120,504695;90,144614;120,504695
0,594167;120,461838;90,118389;120,461838
0,595167;120,418307;90,091695;120,418307
0,596167;120,374102;90,064534;120,374102
0,597167;120,329225;90,036905;120,329225
0,598167;120,283678;90,008808;120,283678
0,599167;120,237461;89,980243;120,237461
0,600167;120,190575;89,951211;120,190575
0,601167;120,143022;89,921711;120,143022
0,602167;120,094802;89,891744;120,094802
0,603167;120,045918;89,861310;120,045918
0,604167;119,996370;89,830408;119,996370
0,605167;119,946159;89,799040;119,946159
0,606167;119,895287;89,767204;119,895287
0,607167;119,843754;89,734902;119,843754
0,608167;119,791563;89,702133;119,791563
0,609167;119,738714;89,668897;119,738714
0,610167;119,685208;89,635196;119,685208
0,611167;119,631048;89,601028;119,631048
0,612167;119,576233;89,566394;119,576233
0,613167;119,520765;89,531294;119,520765
0,614167;119,464646;89,495729;119,464646
0,615167;119,407877;89,459698;119,407877
0,616167;119,350459;89,423202;119,350459
0,617167;119,292393;89,386241;119,292393
0,618167;119,233681;89,348815;119,233681
0,619167;119,174324;89,310925;119,174324
0,620167;119,114323;89,272570;119,114323
0,621167;119,053679;89,233751;119,053679
0,622167;118,992395;89,194469;118,992395
0,623167;118,930470;89,154722;118,930470
0,624167;118,867907;89,114513;118,867907
0,625167;118,804708;89,073840;118,804708
0,626167;118,740872;89,032705;118,740872
0,627167;118,676402;88,991108;118,676402
0,628167;118,611298;88,949048;118,611298
0,629167;118,545563;88,906526;118,545563
0,630167;118,479198;88,863543;118,479198
0,631167;118,412204;88,820099;118,412204
0,632167;118,344582;88,776194;118,344582
0,633167;118,276334;88,731828;118,276334
0,634167;118,207461;88,687002;118,207461
0,635167;118,137965;88,641717;118,137965
0,636167;118,067846;88,595972;118,067846
0,637167;117,997108;88,549769;117,997108
0,638167;117,925750;88,503107;117,925750
0,639167;117,853775;88,455986;117,853775
0,640167;117,781183;88,408408;117,781183
0,641167;117,707977;88,360373;117,707977
0,642167;117,634157;88,311881;117,634157
0,643167;117,559726;88,262933;117,559726
0,644167;117,484684;88,213528;117,484684
0,645167;117,409033;88,163669;117,409033
0,646167;117,332775;88,113354;117,332775
0,647167;117,255911;88,062585;117,255911
0,648167;117,178443;88,011362;117,178443
0,649167;117,100372;87,959686;117,100372
0,650167;117,021699;87,907557;117,021699
0,651167;116,942427;87,854976;116,942427
0,652167;116,862557;87,801943;116,862557
0,653167;116,782089;87,748458;116,782089
0,654167;116,701027;87,694524;116,701027
0,655167;116,619371;87,640139;116,619371
0,656167;116,537123;87,585305;116,537123
0,657167;116,454285;87,530023;116,454285
0,658167;116,370858;87,474292;116,370858
0,659167;116,286843;87,418114;116,286843
0,660167;116,202243;87,361490;116,202243
0,661167;116,117059;87,304419;116,117059
0,662167;116,031292;87,246903;116,031292
0,663167;115,944945;87,188942;115,944945
0,664167;115,858019;87,130538;115,858019
0,665167;115,770515;87,071690;115,770515
0,666167;115,682435;87,012400;115,682435
0,667167;115,593781;86,952668;115,593781
0,668167;115,504554;86,892496;115,504554
0,669167;115,414757;86,831883;115,414757
0,670167;115,324391;86,770831;115,324391
0,671167;115,233457;86,709340;115,233457
0,672167;115,141957;86,647412;115,141957
0,673167;115,049893;86,585047;115,049893
0,674167;114,957267;86,522246;114,957267
0,675167;114,864081;86,459011;114,864081
0,676167;114,770336;86,395341;114,770336
0,677167;114,676033;86,331238;114,676033
0,678167;114,581176;86,266702;114,581176
0,679167;114,485764;86,201735;114,485764
